disclosure_id,section,category,topic,disclosure_ko
s2-g1,지배구조,기후 관련 위험과 기회에 대한 이사회의 감독 사항,목적,"기후 관련 위험 및 기회를 감독할 책임이 있는 의사결정기구(들) 또는 개인(들)을 식별하고, 다음의 정보를 공시해야 합니다."
s2-g2,지배구조,기후 관련 위험과 기회에 대한 이사회의 감독 사항,기후 관련 위험과 기회에 대한 이사회의 감독 사항,"기후 관련 위험 및 기회에 대한 책임이 해당 의사결정기구(들) 또는 개인(들)에게 적용되는 기업의 위임사항(terms of reference), 의무사항 (mandates), 역할기술서(role description) 및 기타 관련 정책에 어떻게 반영되는지"
s2-g3,지배구조,기후 관련 위험과 기회에 대한 이사회의 감독 사항,기후 관련 위험과 기회에 대한 이사회의 감독 사항,의사결정기구(들) 또는 개인(들)이 기후 관련 위험 및 기회에 대응하기 위해 고안된 전략을 감독할 수 있는 적절한 기술과 역량을 갖추었는지 또는 개발할 것인지를 어떻게 판단하는지
s2-g4,지배구조,기후 관련 위험과 기회에 대한 이사회의 감독 사항,기후 관련 위험과 기회에 대한 이사회의 감독 사항,의사결정기구(들) 또는 개인(들)이 기후 관련 위험 및 기회에 대해 어떻게 통지받는지와 얼마나 자주 통지받는지
s2-g5,지배구조,기후 관련 위험과 기회에 대한 이사회의 감독 사항,기후 관련 위험과 기회에 대한 이사회의 감독 사항,"의사결정기구(들) 또는 개인(들)이 기업의 전략, 주요 거래에 대한 의사결정, 위험관리 프로세스 및 관련 정책을 감독할 때 기후 관련 위험 및 기회를 어떻게 고려하는지(의사결정기구(들) 또는 개인(들)이 그러한 위험 및 기회 간의 상충을 고려했는지 여부 포함)"
s2-g6,지배구조,기후 관련 위험과 기회에 대한 이사회의 감독 사항,기후 관련 위험과 기회에 대한 이사회의 감독 사항,의사결정기구(들) 또는 개인(들)이 기후 관련 위험 및 기회와 관련된 목표의 설정을 어떻게 감독하는지와 그러한 목표를 향한 진척도를 어떻게 모니터링하는지(관련 성과지표가 보상정책에 포함되는지 여부와 어떻게 포함되는지를 포함
s2-g7,지배구조,기후 관련 위험과 기회에 대한 경영진의 역할,목적,"기후 관련 위험 및 기회를 모니터링, 관리 및 감독하는 데 있어서 경영진의 역할을 설명하고, 다음 정보를 공시해야 합니다."
s2-g8,지배구조,기후 관련 위험과 기회에 대한 경영진의 역할,기후 관련 위험과 기회에 대한 경영진의 역할,경영진의 역할이 특정 경영진 수준의 직책 또는 위원회에 위임되는지 여부와 그러한 직책 또는 위원회가 어떻게 감독되는지
s2-g9,지배구조,기후 관련 위험과 기회에 대한 경영진의 역할,기후 관련 위험과 기회에 대한 경영진의 역할,"경영진이 기후 관련 위험 및 기회의 감독을 지원하기 위해 통제 및 절차를 사용하는지 여부와 만약 그렇다면, 이러한 통제 및 절차가 다른 내부 기능과 어떻게 통합되는지"
s2-s1,전략,위험 및 기회,목적,기업은 일반목적재무보고서의 이용자가 기업 전망에 영향을 미칠 것으로 합리적으로 예상할 수 있는 기후 관련 위험 및 기회를 이해할 수 있도록하는 정보를 공시한다. 구체적으로 기업은 다음을 수행한다.
